url;price;currencyId;categoryId;picture;name;category1;category2;category3;category4;category5;category6;category7;Бренд;Холодопроизводительность (кВт);Теплопроизводительность (кВт);Тип Кондиционера;Артикул;Тип Блока;Тип Хладоагента;Инверторное управление;Класс Энергоэфективности: Охлаждение;Класс Энергоэфективности: Обогрев;Потребляемая мощность: Охлаждение (кВт);Потребляемая мощность: Обогрев (кВт);Рабочий Ток: Охлаждение (А);Рабочий Ток: Обогрев (А);Размер НЕТТО: Высота (мм);Размер НЕТТО: Ширина (мм);Размер НЕТТО: Глубина (мм);Вес НЕТТО (кг);Рабочий уровень шума (дБ);Источник питания;Размер соед. Труб: фаза - Жидкость;Размер соед. Труб: фаза - Газ;Допустимая уличная Температура: Охлаждение (°С);Допустимая уличная Температура: Обогрев (°С);Максимальная длина трассы (м);Максимальный перепад высот (м);Тип вн. Блока;Маркетинговые баллы;Наличие Пульта Управления
"http://b2b.optim-m.ru/catalog/ruvh/38ruvh026k_vneshniy_blok_carrier/";"0";"RUR";"552";"http://pt.loc/image/providers/optim/picture/083/0834bc9918da4bd553736bda94cc78f0.jpeg";"38RUVH026K Внешний блок Carrier";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"RUVH";"";"";"Carrier";"2.6";"2.8";"Бытовой-Сплит";"000003285";"Наружный";"R410A";"Да";"A";"A";"0.81";"0.77";"";"";"540";"670";"265";"26.5";"54";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"10";"-10";"20";"8";"";"50";""
"http://b2b.optim-m.ru/catalog/ruvh/38ruvh032k_vneshniy_blok_carrier/";"0";"RUR";"552";"http://pt.loc/image/providers/optim/picture/c00/c00b48666e9420e02e89e28ef39eb79f.jpeg";"38RUVH032K Внешний блок Carrier";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"RUVH";"";"";"Carrier";"3.3";"3.6";"Бытовой-Сплит";"000003284";"Наружный";"R410A";"Да";"A";"A";"1.01";"0.99";"";"";"540";"670";"265";"27";"54";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"10";"-10";"20";"8";"";"50";""
"http://b2b.optim-m.ru/catalog/ruvh/42ruvh026k_vnutrenniy_blok_carrier/";"0";"RUR";"552";"http://pt.loc/image/providers/optim/picture/5b1/5b1e474d8066fdd645db774b76da79f7.jpeg";"42RUVH026K Внутренний блок Carrier";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"RUVH";"";"";"Carrier";"2.6";"2.8";"Бытовой-Сплит";"000003282";"Внутренний";"R410A";"Да";"A";"A";"0.81";"0.77";"";"";"250";"710";"189";"7";"28";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"10";"-10";"20";"8";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/ruvh/42ruvh032k_vnutrenniy_blok_carrier/";"0";"RUR";"552";"http://pt.loc/image/providers/optim/picture/70b/70b0024e9549eb80613695c4266e4641.jpeg";"42RUVH032K Внутренний блок Carrier";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"RUVH";"";"";"Carrier";"3.3";"3.6";"Бытовой-Сплит";"000003283";"Внутренний";"R410A";"Да";"A";"A";"1.01";"0.99";"";"";"275";"790";"196";"8.5";"31";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"10";"-10";"20";"8";"Настенные";"50";""
"http://b2b.optim-m.ru/catalog/carrier_uqv/38uqv025m_vneshniy_blok_tm_carrier/";"0";"RUR";"553";"http://pt.loc/image/providers/optim/picture/fdc/fdc837b4f6ab501a24aa0b54addf5e4f.jpeg";"38UQV025M Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"Carrier UQV";"";"";"";"";"";"";"000013629";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";""
"http://b2b.optim-m.ru/catalog/carrier_uqv/38uqv035m_vneshniy_blok_tm_carrier/";"0";"RUR";"553";"http://pt.loc/image/providers/optim/picture/b8b/b8b6cc575f6074c16a3e0d41019ee838.jpeg";"38UQV035M Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"Carrier UQV";"";"";"";"";"";"";"000013630";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";""
"http://b2b.optim-m.ru/catalog/carrier_uqv/38uyv025m_vneshniy_blok_tm_carrier/";"0";"RUR";"553";"http://pt.loc/image/providers/optim/picture/edc/edc27eb0dd41379bf7e97e6216eea022.jpeg";"38UYV025M Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"Carrier UQV";"";"";"Carrier";"2.5";"3.2";"Бытовой-Сплит";"000005224";"Наружный";"R410A";"Да";"A";"A";"0.77";"0.89";"3.7";"4.25";"530";"660";"240";"27";"48";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"-10";"-15";"10";"8";"";"50";""
"http://b2b.optim-m.ru/catalog/carrier_uqv/38uyv035m_vneshniy_blok_tm_carrier/";"0";"RUR";"553";"http://pt.loc/image/providers/optim/picture/272/272985200c2efba8d499588ae6b1c7fd.jpeg";"38UYV035M Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"Carrier UQV";"";"";"Carrier";"3.5";"4.2";"Бытовой-Сплит";"000005225";"Наружный";"R410A";"Да";"A";"A";"1.09";"1.15";"5.21";"5.5";"550";"780";"290";"33";"48";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"9,52 (3/8)";"-10";"-15";"10";"8";"";"50";""
"http://b2b.optim-m.ru/catalog/carrier_uqv/38uyv050m_vneshniy_blok_tm_carrier/";"0";"RUR";"553";"http://pt.loc/image/providers/optim/picture/772/77210878adc5b5e8f489c400b071fd76.jpeg";"38UYV050M Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"Carrier UQV";"";"";"Carrier";"5";"5.8";"Бытовой-Сплит";"000005228";"Наружный";"R410A";"Да";"A";"A";"1.51";"1.6";"7.05";"7.49";"550";"780";"290";"39";"49";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"-10";"-15";"20";"10";"";"50";""
"http://b2b.optim-m.ru/catalog/carrier_uqv/38uyv060m_vneshniy_blok_tm_carrier/";"0";"RUR";"553";"http://pt.loc/image/providers/optim/picture/2f2/2f2dd324ecd59e31a31729aae93f99a1.jpeg";"38UYV060M Внешний блок ТМ CARRIER";"Бытовой и Полупромышленный Климат";"Бытовое Кондиционирование";"Настенные кондиционеры";"Carrier";"Carrier UQV";"";"";"Carrier";"6";"7";"Бытовой-Сплит";"000005229";"Наружный";"R410A";"Да";"B";"C";"1.99";"2.18";"9.31";"10.16";"550";"780";"290";"41";"53";"Однофазный (220В, 50Hz)";"6,35 (1/4)";"12,7 (1/2)";"-10";"-15";"20";"10";"";"50";""
